dataset,instance_index,depot,budget_miles,algorithm,collected_prize_excluding_depot,java_raw_prize_including_depot,route_distance_miles,runtime_ms,route
"Capital_Cities.txt",18,"Frankfort,KY",4000,"P-MARL",1160,1204,3999.270299,2713.248875,"Frankfort,KY -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Boston,MA -> Providence,RI -> Hartford,CT -> Harrisburg,PA -> Richmond,VA -> Raleigh,NC -> Columbia,SC -> Atlanta,GA -> Nashville,TN -> JeffersonCity,MO -> Topeka,KS -> Lincoln,NE -> DesMoines,IA -> Springfield,IL -> Columbus,OH -> Frankfort,KY"
"Capital_Cities.txt",19,"Harrisburg,PA",4000,"Greedy 1",584,608,3968.042281,0.110250,"Harrisburg,PA -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Dover,DE -> Harrisburg,PA"
"Capital_Cities.txt",19,"Harrisburg,PA",4000,"Greedy 2",1040,1064,3950.305581,0.141708,"Harrisburg,PA -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Frankfort,KY -> Charleston,WV -> Harrisburg,PA"
"Capital_Cities.txt",19,"Harrisburg,PA",4000,"P-MARL",1148,1172,3973.071411,2431.129416,"Harrisburg,PA -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Boston,MA -> Providence,RI -> Hartford,CT -> Columbus,OH -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Harrisburg,PA"
"Capital_Cities.txt",0,"Albany,NY",6000,"Greedy 1",815,1015,5994.186866,0.043500,"Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> OklahomaCity,OK -> Atlanta,GA -> Columbia,SC -> Columbus,OH -> Concord,NH -> Providence,RI -> Hartford,CT -> Albany,NY"
"Capital_Cities.txt",0,"Albany,NY",6000,"Greedy 2",1307,1507,5977.992605,0.144250,"Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Springfield,IL -> JeffersonCity,MO -> OklahomaCity,OK -> Austin,TX -> Jackson,MS -> Montgomery,AL -> Charleston,WV -> Harrisburg,PA -> Albany,NY"
"Capital_Cities.txt",0,"Albany,NY",6000,"P-MARL",1395,1595,5380.223822,3461.208458,"Albany,NY -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Harrisburg,PA -> Columbus,OH -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> OklahomaCity,OK -> Jackson,MS -> BatonRouge,LA -> LittleRock,AR -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Montpelier,VT -> Hartford,CT -> Albany,NY"
"Capital_Cities.txt",1,"Annapolis,MD",6000,"Greedy 1",775,971,5943.209302,0.036458,"Annapolis,MD -> Albany,NY -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> OklahomaCity,OK -> Atlanta,GA -> Columbia,SC -> Columbus,OH -> Lansing,MI -> Harrisburg,PA -> Annapolis,MD"
"Capital_Cities.txt",1,"Annapolis,MD",6000,"Greedy 2",1347,1543,5986.951749,0.145375,"Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Springfield,IL -> JeffersonCity,MO -> OklahomaCity,OK -> Austin,TX -> Jackson,MS -> BatonRouge,LA -> Montgomery,AL -> Charleston,WV -> Annapolis,MD"
"Capital_Cities.txt",1,"Annapolis,MD",6000,"P-MARL",1549,1745,5898.737130,3511.782667,"Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Boston,MA -> Concord,NH -> Augusta,ME -> Providence,RI -> Hartford,CT -> Columbus,OH -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> Topeka,KS -> Lincoln,NE -> DesMoines,IA -> Cheyenne,WY -> Denver,CO -> OklahomaCity,OK -> LittleRock,AR -> Jackson,MS -> BatonRouge,LA -> Atlanta,GA -> Nashville,TN -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Harrisburg,PA -> Annapolis,MD"
"Capital_Cities.txt",2,"Atlanta,GA",6000,"Greedy 1",665,833,5996.589749,0.044583,"Atlanta,GA -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> OklahomaCity,OK -> Columbia,SC -> Montgomery,AL -> Atlanta,GA"
"Capital_Cities.txt",2,"Atlanta,GA",6000,"Greedy 2",1408,1576,5946.238976,0.111583,"Atlanta,GA -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Springfield,IL -> JeffersonCity,MO -> OklahomaCity,OK -> Austin,TX -> Jackson,MS -> BatonRouge,LA -> Tallahassee,FL -> Montgomery,AL -> Atlanta,GA"
"Capital_Cities.txt",2,"Atlanta,GA",6000,"P-MARL",1395,1563,5934.743248,3550.384167,"Atlanta,GA -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Boston,MA -> Providence,RI -> Augusta,ME -> Columbus,OH -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> OklahomaCity,OK -> LittleRock,AR -> Jackson,MS -> BatonRouge,LA -> Tallahassee,FL -> Montgomery,AL -> Nashville,TN -> Frankfort,KY -> Lansing,MI -> Atlanta,GA"
"Capital_Cities.txt",3,"Augusta,ME",6000,"Greedy 1",821,969,5950.873130,0.035792,"Augusta,ME -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> OklahomaCity,OK -> Atlanta,GA -> Columbia,SC -> Concord,NH -> Boston,MA -> Augusta,ME"
"Capital_Cities.txt",3,"Augusta,ME",6000,"Greedy 2",1330,1478,5852.384237,0.111458,"Augusta,ME -> Concord,NH -> Albany,NY -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Providence,RI -> Boston,MA -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Springfield,IL -> JeffersonCity,MO -> OklahomaCity,OK -> Topeka,KS -> Lincoln,NE -> DesMoines,IA -> Madison,WI -> Montpelier,VT -> Augusta,ME"
"Capital_Cities.txt",3,"Augusta,ME",6000,"P-MARL",1441,1589,5997.227263,3555.388417,"Augusta,ME -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Harrisburg,PA -> Richmond,VA -> Raleigh,NC -> Columbia,SC -> Atlanta,GA -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Lansing,MI -> Springfield,IL -> JeffersonCity,MO -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> OklahomaCity,OK -> LittleRock,AR -> Jackson,MS -> BatonRouge,LA -> Montgomery,AL -> Tallahassee,FL -> Providence,RI -> Boston,MA -> Concord,NH -> Augusta,ME"
"Capital_Cities.txt",4,"Austin,TX",6000,"Greedy 1",565,695,5680.693806,0.031291,"Austin,TX -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> OklahomaCity,OK -> Austin,TX"
"Capital_Cities.txt",4,"Austin,TX",6000,"Greedy 2",1433,1563,5995.979154,0.093458,"Austin,TX -> OklahomaCity,OK -> JeffersonCity,MO -> Springfield,IL -> Indianapolis,IN -> Columbus,OH -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Lansing,MI -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Cheyenne,WY -> Austin,TX"
